Wall time,Step,Value
1615631057.0822453,27,-13.800552368164062
1615631057.969655,278,-23.339080810546875
1615631061.380231,529,-15.55938720703125
1615631065.4381144,780,-21.230682373046875
1615631070.2464712,1031,-19.109376907348633
1615631074.6255994,1282,-25.010469436645508
1615631078.2019937,1356,-20.2470703125
1615631079.3872888,1607,-24.092327117919922
1615631083.4741633,1858,-22.288122177124023
1615631091.035915,2109,-19.776914596557617
1615631096.4203126,2312,-18.91377067565918
1615631103.5003924,2355,-16.305137634277344
1615631104.1752844,2386,-16.25703239440918
1615631104.9292736,2574,-16.369054794311523
1615631108.1961305,2825,-15.923140525817871
1615631113.4451854,3076,-16.67574119567871
1615631117.157947,3108,-16.482837677001953
1615631117.8472931,3359,-17.964296340942383
1615631122.0100083,3610,-17.01880645751953
1615631126.0086682,3861,-16.322147369384766
1615631129.5820653,3895,-16.20812225341797
1615631130.2475815,4146,-17.120588302612305
1615631134.14684,4397,-16.21265983581543
1615631138.0114274,4648,-17.30569076538086
1615631141.5713499,4698,-17.168672561645508
1615631142.6307247,4949,-18.547584533691406
1615631146.1300702,5005,-18.372377395629883
1615631147.2158315,5256,-17.670806884765625
1615631151.0169737,5507,-17.447513580322266
1615631154.672948,5758,-17.82818031311035
1615631158.5768843,6009,-17.25307846069336
1615631162.2938595,6260,-17.75672149658203
1615631166.1160636,6511,-17.390056610107422
1615631169.8039827,6762,-18.20478630065918
1615631173.3085454,6794,-18.065988540649414
1615631173.9766214,7045,-18.608081817626953
1615631177.5543191,7160,-17.862071990966797
1615631179.3668382,7411,-18.56850242614746
1615631182.9808438,7547,-17.834819793701172
1615631185.0659773,7798,-17.466493606567383
1615631188.639403,7927,-16.759471893310547
1615631190.660866,8178,-17.069122314453125
1615631194.3903747,8245,-17.035520553588867
1615631195.6434374,8496,-16.62352752685547
1615631199.661242,8630,-16.660036087036133
1615631201.7485354,8881,-16.921789169311523
1615631205.3141098,8965,-16.858108520507812
1615631206.5404115,9028,-16.751968383789062
1615631207.5462937,9061,-16.692644119262695
1615631208.2858937,9312,-17.460546493530273
1615631212.9787142,9344,-17.391454696655273
1615631213.9495685,9595,-17.79057502746582
1615631218.012345,9650,-17.712627410888672
1615631219.0395906,9901,-18.314958572387695
1615631223.0345507,10019,-18.342893600463867
1615631225.719341,10270,-18.90540885925293
1615631229.7044165,10521,-18.5737361907959
1615631233.786115,10772,-19.202396392822266
1615631237.8549366,10856,-18.741361618041992
1615631239.2857168,11107,-19.163753509521484
1615631242.7530627,11137,-19.071447372436523
1615631243.386617,11388,-19.56385612487793
1615631247.9641438,11639,-19.453227996826172
1615631253.5261953,11890,-19.837045669555664
1615631257.5463574,11924,-19.73733901977539
1615631258.3353655,12175,-20.302465438842773
1615631262.5425272,12266,-19.85112190246582
1615631264.1734848,12517,-20.323862075805664
1615631267.9351332,12557,-20.263153076171875
1615631268.7172618,12808,-20.695960998535156
1615631272.2444358,12842,-20.597082138061523
1615631272.9395466,13093,-20.972990036010742
1615631276.439139,13126,-20.871625900268555
1615631277.1247635,13377,-21.272815704345703
1615631281.5395093,13470,-21.17667007446289
1615631283.5699244,13721,-21.49604034423828
1615631287.6611848,13754,-21.383378982543945
1615631288.4570162,14005,-21.766075134277344
1615631292.2452576,14256,-21.55221176147461
1615631296.5519123,14507,-21.82411766052246
1615631300.5433788,14537,-21.718814849853516
1615631301.4538395,14788,-22.012622833251953
1615631307.4975197,14818,-21.904760360717773
1615631309.1524577,15069,-22.24141502380371
1615631315.3632956,15105,-22.144947052001953
1615631316.199285,15356,-22.532201766967773
1615631321.375617,15607,-22.273212432861328
1615631326.1505105,15858,-22.581714630126953
1615631333.2733502,15888,-22.475950241088867
1615631334.4709218,16139,-22.670154571533203
1615631339.8218806,16221,-22.61834144592285
1615631341.5665655,16472,-22.987937927246094
1615631346.272741,16723,-23.010324478149414
1615631350.8430412,16974,-23.358736038208008
1615631355.5268006,17084,-23.289762496948242
1615631357.6681721,17335,-23.553056716918945
1615631362.2266412,17421,-23.464794158935547
1615631363.777182,17539,-23.406524658203125
1615631365.9256449,17605,-23.1046199798584
1615631367.3844998,17856,-23.294775009155273
1615631372.6162891,18107,-23.307159423828125
1615631376.7645376,18358,-23.33040428161621
1615631381.476262,18609,-23.33040428161621
1615631386.3946888,18860,-23.37811279296875
1615631390.4978704,18949,-23.44000244140625
1615631392.6345024,19200,-23.43097496032715
1615631397.2024615,19451,-23.613033294677734
1615631401.3210428,19702,-23.434131622314453
1615631405.6993995,19950,-23.600854873657227
1615631409.9207928,20201,-24.109718322753906
1615631414.0343437,20243,-24.145296096801758
1615631414.983512,20494,-24.65633201599121
1615631418.855382,20583,-24.41121482849121
1615631420.511238,20834,-24.700803756713867
1615631424.7539098,21085,-24.614213943481445
1615631429.0906703,21336,-24.85289764404297
1615631433.6778033,21587,-24.71893310546875
1615631438.1829677,21838,-24.653160095214844
1615631442.3227098,22089,-24.96727752685547
1615631446.538694,22340,-25.24750328063965
1615631450.6530948,22376,-25.235445022583008
1615631451.428443,22627,-25.218706130981445
1615631455.459608,22723,-25.410451889038086
1615631457.2353253,22974,-25.331331253051758
1615631461.326768,23225,-25.192527770996094
1615631465.1349754,23476,-25.031108856201172
1615631469.3163793,23727,-24.8929386138916
1615631474.15887,23978,-25.210962295532227
1615631478.278056,24229,-25.093019485473633
1615631484.2741919,24480,-25.21784782409668
1615631489.7299285,24653,-25.39202880859375
1615631493.7234104,24904,-25.39105224609375
1615631498.738505,24936,-25.46004295349121
1615631499.6859574,25187,-25.26403045654297
1615631504.7463946,25438,-25.13056182861328
1615631509.2152212,25689,-25.19178009033203
1615631512.94715,25731,-25.406986236572266
1615631513.8785982,25982,-25.2713565826416
1615631518.032863,26233,-25.371809005737305
1615631522.3334439,26484,-25.591581344604492
1615631527.0943704,26735,-25.706796646118164
1615631531.5596626,26986,-25.708297729492188
1615631535.6732614,27028,-25.70672607421875
1615631536.667129,27279,-26.1656494140625
1615631541.395728,27530,-25.979188919067383
1615631545.7383428,27781,-26.038631439208984
1615631550.2354069,28032,-25.899343490600586
1615631554.6971576,28283,-26.182249069213867
1615631561.022471,28534,-26.083396911621094
1615631565.013339,28785,-25.88465118408203
1615631569.8576193,28993,-25.952495574951172
1615631575.211858,29244,-25.92151641845703
1615631580.907443,29319,-25.923471450805664
1615631584.3407414,29570,-25.820280075073242
1615631593.8941443,29606,-25.764482498168945
1615631595.642233,29857,-25.762107849121094
1615631600.9576287,30108,-26.05230140686035
1615631604.8573675,30359,-25.8541316986084
1615631609.1013258,30534,-26.0772762298584
1615631612.4571922,30785,-26.084590911865234
1615631617.584831,31036,-25.949260711669922
1615631623.547612,31287,-25.826810836791992
1615631628.5619326,31538,-25.70086669921875
1615631634.2364862,31789,-25.64934539794922
1615631638.1915705,32040,-25.515783309936523
1615631641.971516,32291,-25.242618560791016
1615631646.0967,32542,-25.415605545043945
1615631650.379537,32793,-25.218372344970703
1615631655.377224,32827,-25.181751251220703
1615631658.0541778,33078,-25.134618759155273
1615631663.8430028,33111,-25.127246856689453
1615631664.6802626,33362,-24.978662490844727
1615631668.289071,33490,-24.987794876098633
1615631670.4135728,33741,-24.89632797241211
1615631675.6678054,33855,-24.88036346435547
1615631678.3575828,34106,-24.68536949157715
1615631683.1046753,34357,-24.557159423828125
1615631687.006098,34608,-24.358728408813477
1615631691.87599,34859,-24.30375862121582
1615631695.532018,35110,-24.180749893188477
1615631700.903101,35357,-24.203882217407227
1615631705.9242616,35608,-24.0130558013916
1615631709.59933,35640,-24.007354736328125
1615631710.3327456,35891,-23.960529327392578
1615631715.1989417,36142,-23.820110321044922
1615631719.058244,36393,-23.68663215637207
1615631724.8504455,36644,-23.68663215637207
1615631730.2305431,36895,-23.594200134277344
1615631735.3779242,37146,-23.462512969970703
1615631740.4950418,37397,-23.46845054626465
1615631745.1115756,37556,-23.556203842163086
1615631747.7619886,37807,-23.441240310668945
1615631751.6700273,37855,-23.337209701538086
1615631753.3646088,38106,-23.105958938598633
1615631757.582721,38357,-22.937896728515625
1615631763.8574953,38608,-22.839632034301758
1615631767.921906,38859,-22.776500701904297
1615631772.1104765,39110,-23.016803741455078
1615631777.3077865,39361,-23.342857360839844
1615631783.4711108,39612,-23.34701919555664
1615631788.326431,39863,-23.19662857055664
1615631795.1174667,40114,-23.27083396911621
1615631804.67987,40365,-23.27083396911621
1615631810.4463558,40616,-23.314273834228516
1615631814.2744145,40867,-23.146142959594727
1615631820.21631,41118,-23.024646759033203
1615631828.350331,41369,-22.97709083557129
1615631833.927951,41620,-22.93454360961914
1615631840.686119,41871,-22.68927574157715
1615631845.890608,42122,-22.628183364868164
1615631850.6155891,42166,-22.62760353088379
1615631851.7580214,42417,-22.584848403930664
1615631857.773092,42538,-22.791015625
1615631860.2943654,42789,-22.715375900268555
1615631864.6379144,43040,-22.74934959411621
1615631869.1708703,43291,-22.524715423583984
1615631874.5637546,43542,-22.524715423583984
1615631878.621542,43793,-22.4754638671875
1615631882.7034512,44017,-22.371580123901367
1615631887.077035,44268,-22.347217559814453
1615631892.2124147,44519,-22.220001220703125
1615631897.1664681,44770,-22.158153533935547
1615631901.429296,45021,-22.155452728271484
1615631907.1626806,45272,-22.175735473632812
1615631910.9915514,45523,-22.306894302368164
1615631914.7739465,45774,-22.193944931030273
1615631918.4093773,46025,-22.462961196899414
1615631922.3470113,46276,-22.560672760009766
1615631927.0740254,46527,-22.628141403198242
1615631931.291746,46778,-22.55868148803711
1615631935.2397852,47029,-22.548303604125977
1615631940.698818,47280,-22.555662155151367
1615631945.1627452,47386,-22.56342315673828
1615631947.6822586,47637,-22.60186004638672
1615631952.874872,47671,-22.737646102905273
1615631953.8979988,47922,-22.658958435058594
1615631958.861496,48004,-22.675518035888672
1615631960.4724803,48255,-22.666515350341797
1615631966.4380813,48506,-22.68545150756836
1615631971.0061486,48757,-22.73902130126953
1615631974.7496302,48995,-22.92225456237793
1615631978.3542986,49246,-22.94788360595703
1615631982.465978,49495,-22.96643829345703
1615631987.6020515,49746,-22.824472427368164
1615631991.6701193,49997,-22.894596099853516
1615631996.519767,50029,-22.67300033569336
1615631997.2059426,50229,-22.840221405029297
1615632000.480334,50480,-22.763181686401367
1615632005.521804,50564,-22.61801528930664
1615632008.498859,50815,-22.646821975708008
1615632013.8920555,51066,-22.477521896362305
1615632019.3338652,51317,-22.563003540039062
1615632025.163614,51508,-22.615686416625977
1615632028.6339965,51759,-22.596269607543945
1615632033.3022852,52010,-22.453556060791016
1615632037.4019706,52261,-22.476978302001953
1615632041.207671,52512,-22.21682357788086
1615632045.0225766,52763,-22.193092346191406
1615632048.6837127,52893,-21.9511661529541
1615632050.818866,53144,-21.880756378173828
1615632054.6521077,53395,-22.00897979736328
1615632059.5894508,53646,-21.962570190429688
1615632063.4833233,53897,-22.031064987182617
1615632067.4112034,54148,-22.152517318725586
1615632073.2267053,54309,-22.315319061279297
1615632076.602192,54560,-22.288732528686523
1615632081.6324627,54682,-22.134923934936523
1615632083.7253163,54933,-22.117761611938477
1615632087.961902,55184,-22.006406784057617
1615632092.4744983,55435,-22.012548446655273
1615632096.5660846,55686,-21.902164459228516
1615632100.717129,55937,-21.96114730834961
1615632104.8562407,56188,-21.851943969726562
1615632109.0309107,56439,-21.941875457763672
1615632112.9951558,56472,-21.94331932067871
1615632113.8043256,56723,-22.242965698242188
1615632119.1912389,56974,-22.26229476928711
1615632123.4735653,57225,-22.32178497314453
1615632127.7672236,57476,-22.53342628479004
1615632132.181491,57727,-22.51275062561035
1615632136.4964437,57978,-22.583433151245117
1615632140.774833,58229,-22.65583038330078
1615632146.1358101,58480,-22.57534408569336
1615632151.4552846,58731,-22.441068649291992
1615632156.5269642,58776,-22.58382225036621
1615632157.4915998,59027,-22.457279205322266
1615632161.87288,59278,-22.457279205322266
1615632166.9800167,59529,-22.34922981262207
1615632173.2667627,59780,-22.50333023071289
1615632178.8558354,60031,-22.628389358520508
1615632183.645756,60282,-22.487953186035156
1615632189.0463796,60533,-22.361982345581055
1615632193.7399528,60589,-22.111021041870117
1615632195.3444042,60840,-22.0809383392334
1615632199.9030328,60928,-22.255220413208008
1615632201.8225963,61179,-22.32291603088379
1615632206.9045932,61268,-22.16657066345215
1615632208.7917778,61519,-22.10544776916504
1615632214.0169275,61742,-22.06240463256836
1615632218.3135881,61993,-22.03635025024414
1615632223.1420336,62244,-22.03635025024414
1615632227.7894695,62495,-22.16477394104004
1615632233.0729318,62746,-22.16477394104004
1615632238.788455,62997,-22.206037521362305
1615632243.2830167,63248,-22.407367706298828
1615632250.1305482,63499,-22.559349060058594
1615632260.6581333,63678,-22.770469665527344
1615632265.0373573,63929,-23.059619903564453
1615632269.64951,64180,-23.059619903564453
1615632273.90749,64431,-22.989770889282227
1615632278.293919,64682,-22.9632568359375
1615632284.1251671,64933,-22.990623474121094
1615632290.619125,65184,-22.872774124145508
1615632297.477717,65435,-22.86149787902832
1615632303.437283,65592,-22.98758316040039
1615632306.6814368,65843,-23.046730041503906
1615632311.4919431,65948,-23.172718048095703
1615632314.1099997,66199,-23.12967300415039
1615632318.6340828,66236,-23.04412269592285
1615632320.2369256,66487,-23.320310592651367
1615632326.8423882,66738,-23.369462966918945
1615632335.4483292,66989,-23.505918502807617
1615632344.724419,67240,-23.379596710205078
1615632349.1115685,67491,-23.518306732177734
1615632354.1147692,67532,-23.51618003845215
1615632355.438874,67783,-23.520626068115234
1615632361.420224,68034,-23.21146583557129
1615632368.9781916,68285,-22.974483489990234
1615632377.0373635,68536,-22.964336395263672
1615632384.033856,68787,-23.060422897338867
1615632390.0712812,69038,-22.93154525756836
1615632394.8475697,69143,-22.735254287719727
1615632396.7407463,69284,-22.7804012298584
1615632399.3870282,69535,-22.92169189453125
1615632406.4630058,69786,-22.917055130004883
1615632412.9995582,70037,-23.096071243286133
1615632418.730664,70093,-23.084070205688477
1615632420.1257882,70344,-23.364273071289062
1615632431.1743886,70595,-23.407238006591797
1615632438.736912,70673,-23.248926162719727
1615632440.8916116,70924,-23.126953125
1615632446.838389,70955,-22.938892364501953
1615632447.8714936,71206,-22.94666862487793
1615632456.1338723,71457,-23.11846923828125
1615632464.3242147,71708,-23.052139282226562
1615632472.6390142,71959,-23.314359664916992
1615632481.153339,72000,-23.285968780517578
1615632483.0096436,72251,-23.350879669189453
1615632490.702919,72502,-23.502944946289062
1615632495.9328196,72753,-23.548337936401367
1615632502.6428409,73004,-23.52187728881836
1615632509.264641,73255,-23.535032272338867
