Wall time,Step,Value
1615635281.2173553,50,-5.708696365356445
1615635282.0343783,301,-17.5979061126709
1615635284.8582907,552,-26.370004653930664
1615635288.8418977,593,-23.083112716674805
1615635289.6317809,844,-29.376394271850586
1615635292.6276217,1095,-24.480329513549805
1615635295.749923,1346,-26.570222854614258
1615635298.6356533,1597,-24.71189308166504
1615635301.641153,1848,-26.622997283935547
1615635304.6399984,2099,-24.175901412963867
1615635308.1280837,2350,-25.47384262084961
1615635311.41873,2416,-22.529003143310547
1615635312.7947059,2667,-25.017072677612305
1615635315.8774278,2700,-24.199907302856445
1615635316.5366185,2951,-25.65277671813965
1615635320.1515105,3202,-23.991321563720703
1615635323.6751263,3453,-25.057636260986328
1615635326.7834527,3504,-24.411666870117188
1615635327.621134,3755,-25.882366180419922
1615635330.595382,3811,-25.27266502380371
1615635331.50628,4062,-25.885753631591797
1615635334.864037,4313,-24.70912742614746
1615635338.6491618,4564,-25.413990020751953
1615635342.8973053,4815,-24.355073928833008
1615635346.0643916,5066,-25.098817825317383
1615635350.0067866,5317,-24.13347816467285
1615635354.6334932,5568,-25.024642944335938
1615635358.989301,5601,-24.603504180908203
1615635360.661978,5852,-25.40486717224121
1615635364.0628421,6103,-24.55803871154785
1615635367.241909,6354,-25.45410919189453
1615635370.4220455,6605,-24.658668518066406
1615635373.5317857,6856,-24.975059509277344
1615635376.7792702,7107,-24.24049949645996
1615635379.955549,7358,-24.858688354492188
1615635383.1328187,7515,-24.774234771728516
1615635385.2777908,7766,-25.097654342651367
1615635389.838015,7799,-24.79250717163086
1615635390.4802585,8050,-25.292163848876953
1615635393.8569572,8301,-24.65985870361328
1615635397.1617243,8552,-24.869632720947266
1615635400.741108,8721,-24.75678825378418
1615635403.2355502,8972,-25.474306106567383
1615635407.0976348,9223,-24.89534568786621
1615635411.2990525,9474,-25.511146545410156
1615635415.0466409,9527,-25.23627281188965
1615635416.0818434,9778,-25.545289993286133
1615635421.0949962,10029,-25.10003089904785
1615635424.6483777,10280,-25.513364791870117
1615635428.0278723,10311,-25.273237228393555
1615635428.9220216,10562,-25.719219207763672
1615635432.8120594,10813,-25.224618911743164
1615635436.3328104,10992,-25.03003692626953
1615635438.6283789,11024,-24.80507469177246
1615635439.2396584,11275,-25.1204776763916
1615635442.5529337,11369,-24.980873107910156
1615635444.1551208,11620,-25.497591018676758
1615635447.6479738,11871,-25.05797576904297
1615635451.246281,12122,-25.4249267578125
1615635454.9986243,12373,-25.086109161376953
1615635458.4797533,12624,-25.2099609375
1615635461.968589,12685,-25.00949478149414
1615635463.0068939,12936,-25.396968841552734
1615635466.4653413,13049,-25.220422744750977
1615635468.3523664,13300,-25.499134063720703
1615635471.7103107,13331,-25.304250717163086
1615635472.4390714,13582,-25.649988174438477
1615635476.4197235,13612,-25.45620346069336
1615635477.1482127,13863,-25.56937026977539
1615635480.8181407,14114,-25.228193283081055
1615635484.5081682,14365,-25.577289581298828
1615635487.9994352,14454,-25.439481735229492
1615635489.3513217,14705,-25.658987045288086
1615635492.8116312,14956,-25.5224552154541
1615635496.3632991,15207,-25.774824142456055
1615635499.9891043,15458,-25.87833595275879
1615635504.2894495,15709,-26.280431747436523
1615635507.9125044,15797,-26.13450813293457
1615635509.5724165,16048,-26.577604293823242
1615635513.664584,16299,-26.339427947998047
1615635517.5937943,16550,-26.416078567504883
1615635521.8796918,16801,-26.093931198120117
1615635525.6205535,17052,-26.393810272216797
1615635529.549938,17303,-26.079599380493164
1615635533.0050054,17554,-26.154075622558594
1615635536.083732,17654,-26.053768157958984
1615635537.508173,17905,-26.17816162109375
1615635540.7928224,18156,-26.0967960357666
1615635544.034562,18407,-26.279979705810547
1615635547.1452148,18467,-26.137941360473633
1615635548.1007545,18718,-26.378583908081055
1615635551.265153,18802,-26.24370002746582
