Wall time,Step,Value
1615374083.5766413,1210,-21.73560333251953
1615374107.0468998,2823,-22.8278751373291
1615374114.247734,3395,-24.18940544128418
1615374126.8550515,4288,-24.414548873901367
1615374155.1364079,6591,-21.41303253173828
1615374158.6310494,6934,-21.610519409179688
1615374162.927476,7436,-21.365129470825195
1615374165.9778762,7687,-21.57942771911621
1615374169.3558152,7800,-21.26215362548828
1615374178.8394897,8745,-20.75575828552246
1615374181.7270508,8786,-20.619667053222656
1615374185.3008542,9072,-20.487895965576172
1615374203.5529861,10777,-19.48579216003418
1615374217.9643285,11894,-19.092586517333984
1615374220.0958402,12012,-19.069072723388672
1615374221.6566048,12263,-19.126195907592773
1615374224.704448,12451,-19.098526000976562
1615374235.043712,13249,-18.856605529785156
1615374253.299798,14847,-18.262187957763672
1615374267.4593918,15895,-17.942672729492188
1615374282.1967106,17164,-16.872543334960938
1615374289.4643295,17655,-16.90934944152832
1615374291.3052282,17897,-16.947359085083008
1615374307.3491917,19136,-15.934601783752441
1615374316.907502,19979,-15.204078674316406
1615374331.659748,21174,-13.807066917419434
1615374338.1802068,21702,-13.27303695678711
1615374341.0984924,21740,-13.284804344177246
1615374354.4980745,22819,-12.755032539367676
1615374356.0586915,23020,-12.518122673034668
1615374357.4451635,23081,-12.262351989746094
1615374367.849803,23934,-11.649431228637695
1615374377.2645466,24650,-10.823160171508789
1615374381.2049143,25063,-10.74066162109375
1615374383.217153,25236,-10.80661678314209
1615374397.2685022,26351,-9.826382637023926
1615374399.0586848,26449,-9.571127891540527
1615374402.506716,26727,-9.20273494720459
1615374413.7334778,27757,-7.706313133239746
1615374416.5083134,27872,-7.808650493621826
1615374422.7147036,28460,-7.474986553192139
1615374426.8075826,28713,-7.533995628356934
1615374428.2629688,28744,-7.651214122772217
1615374432.728242,29309,-7.496950626373291
1615374435.8433025,29513,-7.588927745819092
1615374450.32382,30583,-7.311038494110107
1615374462.9058044,31516,-7.206092357635498
1615374464.0958686,31767,-7.123023509979248
1615374467.1603048,32018,-7.067224025726318
1615374478.1881065,32558,-6.862586498260498
1615374497.3567781,34285,-7.0513434410095215
1615374509.6302361,35187,-7.5079803466796875
1615374518.5488966,35805,-7.40335750579834
1615374524.5715866,36289,-7.378439426422119
1615374538.2117324,37589,-7.6486968994140625
1615374548.1692336,38229,-7.73403263092041
1615374558.253507,39048,-7.725518703460693
1615374564.1490834,39360,-7.536463737487793
1615374570.9614537,40080,-8.100136756896973
1615374577.718386,40536,-8.764763832092285
1615374580.8382227,40878,-9.327229499816895
1615374593.5081754,41791,-10.30362319946289
1615374626.9348822,44431,-11.192092895507812
1615374639.0722542,45528,-11.78813362121582
1615374642.0236409,45617,-11.75963020324707
1615374652.2041607,46588,-12.461883544921875
1615374662.1037679,47383,-13.24165153503418
1615374665.0055509,47425,-13.24166202545166
1615374665.9865768,47536,-13.183473587036133
1615374685.0831091,49239,-14.087672233581543
1615374688.2287998,49490,-14.431795120239258
1615374701.014944,50317,-14.975192070007324
1615374701.46203,50392,-14.741345405578613
1615374702.5676255,50643,-15.114483833312988
1615374711.2310495,51257,-15.35550308227539
1615374725.705989,52454,-15.560689926147461
1615374745.4273186,53830,-15.480989456176758
1615374778.4353454,56514,-15.884903907775879
1615374787.2519686,57168,-15.41881275177002
1615374800.162892,58098,-14.918731689453125
1615374808.757042,58501,-14.270782470703125
1615374811.9658916,58917,-14.238992691040039
1615374838.9255333,60863,-13.280466079711914
1615374842.4141731,61114,-13.44961929321289
1615374874.5343587,63387,-10.562692642211914
1615374902.7416282,65385,-8.093454360961914
1615374905.9040422,65415,-8.0779390335083
1615374910.0128205,65809,-7.694711685180664
1615374921.2104962,66620,-6.923644542694092
1615374945.8369713,68214,-6.023011207580566
1615374956.482638,68716,-5.899149417877197
1615374961.7837985,68759,-5.90167760848999
1615374973.7452273,69378,-6.298911094665527
1615374984.58834,70053,-6.2837066650390625
1615375004.1171107,71258,-5.96467924118042
1615375008.306095,71561,-5.828493595123291
1615375009.490922,71812,-6.061239719390869
1615375026.8051853,72806,-6.309519290924072
1615375028.9013364,72898,-6.072430610656738
1615375068.1054373,75157,-5.903385639190674
1615375070.725158,75297,-5.561965465545654
1615375073.0505352,75474,-5.594635486602783
1615375121.1633146,77810,-5.647536277770996
1615375134.537725,78288,-6.3428144454956055
1615375137.7898462,78399,-6.4947943687438965
1615375149.5675051,78992,-6.287941932678223
1615375170.1434386,79976,-6.921591281890869
1615375185.6952574,80712,-7.386240482330322
1615375187.9864924,80815,-7.285441875457764
1615375193.9622574,81311,-7.503087043762207
1615375210.4907358,81947,-7.4451117515563965
1615375228.4383185,82675,-6.797451496124268
1615375230.4402575,82761,-6.745276927947998
1615375254.1438313,83863,-6.856606960296631
1615375258.1420462,84125,-6.977488994598389
1615375270.6685772,84807,-6.985635280609131
1615375274.6776102,85058,-7.059590816497803
1615375293.135287,85838,-6.9317474365234375
1615375301.6603296,86163,-6.679508209228516
1615375303.1383111,86234,-6.92998743057251
1615375318.55413,86957,-6.2552170753479
1615375321.8220527,87140,-6.097733974456787
1615375323.3720865,87391,-6.133606433868408
1615375329.7280505,87716,-6.117928981781006
1615375335.60184,88024,-5.797025680541992
1615375340.9866955,88119,-5.856947422027588
1615375359.0690024,89138,-5.947093963623047
1615375364.007668,89389,-5.865206241607666
1615375399.2467659,91044,-6.325893878936768
1615375417.2338707,91756,-5.972352981567383
1615375421.2730331,91845,-5.7207560539245605
1615375436.2518914,92813,-4.957682132720947
1615375450.105701,93339,-4.4235100746154785
1615375453.2366564,93649,-4.3242950439453125
1615375498.0683296,95396,-4.027586460113525
1615375520.45242,96533,-4.092601776123047
1615375526.8494473,96784,-4.18308687210083
1615375540.6363654,97203,-3.85398006439209
1615375544.9178178,97439,-4.040311813354492
1615375552.3618236,97690,-4.094837188720703
1615375558.8527646,97736,-4.072178840637207
1615375567.6647167,98052,-3.9500443935394287
1615375574.6467276,98483,-3.4301164150238037
1615375598.6716638,99315,-3.7209393978118896
1615375619.4925978,100090,-4.016617774963379
1615375630.5305254,100551,-4.059086322784424
1615375647.5779166,101244,-4.043473720550537
1615375660.6373525,101671,-3.5844430923461914
1615375667.4113953,101922,-3.5808629989624023
1615375675.434851,102037,-3.564908266067505
1615375676.086057,102082,-3.5335941314697266
1615375685.9617784,102680,-3.4729340076446533
1615375694.021173,102757,-3.702075242996216
1615375704.4282384,103334,-3.856377124786377
1615375709.7706394,103381,-3.8201282024383545
1615375724.0239005,104009,-3.924562692642212
1615375726.3550296,104260,-4.038590908050537
1615375764.130036,105748,-4.578054428100586
1615375776.6669548,106029,-4.360353946685791
1615375794.818614,106600,-3.8021676540374756
1615375801.9462242,106871,-3.9493818283081055
1615375812.1140327,107373,-4.29974889755249
1615375824.2032468,107843,-4.460879325866699
1615375840.604856,108431,-4.657780647277832
1615375858.685306,108916,-4.464261531829834
1615375870.9923785,109391,-4.749783515930176
1615375872.3394668,109642,-4.602024078369141
1615375878.1151717,109694,-4.338654041290283
1615375879.4831877,109855,-4.094937324523926
1615375902.2938864,110739,-3.8794238567352295
1615375919.2253268,111408,-4.126179218292236
1615375923.0322385,111760,-4.167431831359863
1615375927.8868785,111820,-3.8761696815490723
1615375935.2781026,112162,-3.6122312545776367
1615375946.0632868,112837,-4.031203746795654
1615375954.568349,113228,-3.9969522953033447
