Wall time,Step,Value
1615723107.7828104,897,-11.819792747497559
1615723129.5367558,2450,-8.192197799682617
1615723139.6631727,3203,-7.662389755249023
1615723153.750672,4145,-7.1926984786987305
1615723189.442978,7100,-6.535538673400879
1615723195.4048388,7391,-6.664647579193115
1615723199.0232282,7718,-6.819768905639648
1615723200.1397314,7969,-6.851660251617432
1615723204.6926742,8333,-8.567808151245117
1615723218.4156315,9441,-9.171765327453613
1615723227.7215953,10194,-9.038508415222168
1615723249.0586026,11916,-11.192377090454102
1615723264.4076393,13154,-10.249286651611328
1615723267.330731,13223,-10.229318618774414
1615723268.3647902,13474,-10.202798843383789
1615723271.3072782,13519,-10.256303787231445
1615723280.5423214,14247,-9.661741256713867
1615723289.5730293,15029,-9.845450401306152
1615723297.6317384,15652,-9.519535064697266
1615723310.833065,16709,-9.105443954467773
1615723315.1140175,17248,-8.99062442779541
1615723318.0265956,17282,-9.01033878326416
1615723329.8925748,18364,-8.845406532287598
1615723343.66396,19017,-9.495306015014648
1615723363.0211291,20108,-10.459615707397461
1615723371.6192684,20783,-10.529356002807617
1615723388.172662,22001,-10.03759765625
1615723392.2755277,22264,-10.303862571716309
1615723417.0318809,23718,-9.10763168334961
1615723427.65116,24783,-9.006421089172363
1615723434.7292318,25360,-8.62648868560791
1615723465.2423544,27235,-7.242015838623047
1615723470.112207,27486,-7.047361850738525
1615723497.847212,29263,-7.393984317779541
1615723501.1957033,29319,-7.576385498046875
1615723512.8699722,30375,-8.16257381439209
1615723518.2448714,30714,-8.076284408569336
1615723524.5006511,30834,-7.798886775970459
1615723542.265041,31620,-7.779032230377197
1615723577.650524,33456,-7.612303733825684
1615723599.4594865,34932,-8.015722274780273
1615723601.6088462,35183,-7.912405014038086
1615723605.8827093,35375,-8.14399528503418
1615723617.9702716,36166,-7.863198280334473
1615723642.962645,38294,-7.606980800628662
1615723659.0000377,39584,-6.920766353607178
1615723673.3362217,40677,-7.414144515991211
1615723679.5577178,41238,-7.254965782165527
1615723701.9215622,43024,-7.299795150756836
1615723717.8324301,44306,-7.124464988708496
1615723730.362452,45123,-7.601495265960693
1615723737.5184405,45876,-7.524512767791748
1615723747.4790645,46668,-7.325257778167725
1615723755.8411632,47301,-7.276771545410156
1615723760.0002823,47632,-7.29879093170166
1615723805.203639,51016,-6.677582740783691
1615723816.493696,52076,-6.633310794830322
1615723819.955346,52108,-6.738550186157227
1615723829.6458282,52973,-6.487568378448486
1615723842.4848788,53786,-6.081958293914795
1615723843.3923178,53994,-5.870041847229004
1615723849.330441,54333,-6.220216274261475
1615723864.2756085,55539,-5.742668628692627
1615723866.6480148,55790,-5.646256923675537
1615723879.824003,56766,-5.743873119354248
1615723883.257503,57017,-5.742062091827393
1615723886.6769757,57268,-5.745632648468018
1615723894.6008644,57643,-5.697038173675537
1615723913.9299033,59254,-5.860845565795898
1615723938.9269066,60789,-6.128137111663818
1615723981.4691238,63449,-5.679078102111816
1615723993.122138,64265,-5.941440582275391
1615724011.937557,65470,-6.391074180603027
1615724016.0764544,65872,-6.444009780883789
1615724020.2931545,66164,-6.337357997894287
1615724053.7038372,68455,-6.446954727172852
1615724057.2463076,68546,-6.464792728424072
1615724105.168099,71323,-6.706902980804443
1615724152.464676,73793,-6.706548690795898
1615724156.5525818,73836,-6.676925182342529
1615724161.8027139,74338,-6.5490193367004395
1615724179.084954,75121,-6.118279457092285
1615724212.8117743,77163,-5.854166030883789
1615724219.9392498,77521,-5.798040866851807
1615724224.561545,77601,-6.117636680603027
1615724235.5565135,78194,-5.578557014465332
1615724252.433792,79231,-5.462907791137695
1615724289.6386206,81009,-5.684330940246582
1615724300.6313465,81721,-5.735307693481445
1615724305.465923,81972,-5.629986763000488
1615724344.075367,83924,-5.524021148681641
1615724348.94451,84175,-5.410745143890381
1615724415.20546,87195,-5.746482849121094
1615724422.0557625,87543,-5.638367176055908
1615724427.9141407,87828,-5.616846084594727
1615724480.4619474,90367,-5.597140312194824
1615724496.63231,91189,-5.466192722320557
1615724502.4482353,91484,-5.047608375549316
1615724513.1882882,92029,-5.190953254699707
1615724536.1959574,93187,-5.399191379547119
1615724560.044716,94389,-5.50636100769043
1615724570.0166807,94891,-5.365538597106934
1615724582.0181432,95358,-5.571223735809326
1615724603.3387034,96518,-5.8757405281066895
1615724625.9445899,97691,-6.198777198791504
1615724664.0873845,99603,-6.088484287261963
1615724670.1980395,99907,-6.0616960525512695
1615724686.347666,100714,-5.9926323890686035
1615724704.956567,101641,-5.849992752075195
1615724721.4403865,102462,-5.713786602020264
1615724726.2819684,102506,-5.835744380950928
1615724744.5861669,103619,-5.543308258056641
1615724753.1697671,104048,-5.803411483764648
1615724757.9994607,104088,-5.705227851867676
1615724764.011662,104590,-5.654175281524658
1615724773.9532027,104930,-5.595570087432861
1615724775.8835905,105181,-5.5563788414001465
1615724797.3733659,106251,-5.743489742279053
1615724802.3949862,106502,-5.720945835113525
1615724846.0077004,108382,-6.242873668670654
1615724871.5024054,109446,-6.532951354980469
1615724877.4116933,109770,-6.85575532913208
1615724894.8906443,110807,-7.1921210289001465
1615724911.8576016,111449,-7.2693095207214355
1615724919.2826197,111805,-7.0142412185668945
1615724978.2901058,114411,-6.6850080490112305
1615724998.4382052,115614,-6.4960503578186035
1615725003.411669,115730,-6.260258674621582
1615725010.8272836,116076,-6.390537738800049
1615725013.2419777,116327,-6.362452030181885
1615725019.6337662,116578,-6.327895164489746
1615725025.5191426,116829,-6.238518714904785
1615725033.9199111,117246,-6.268513202667236
1615725048.4948618,117814,-6.174116134643555
1615725065.6604323,118659,-5.897127628326416
